time,custom_id,x,y,z
6.01,1001,1998.09,25.00,2557.39
6.04,1003,1993.36,25.00,2515.45
6.04,1001,1998.04,25.00,2557.39
6.06,1003,1993.35,25.00,2515.81
6.06,1001,1997.99,25.00,2557.39
6.09,1003,1993.34,25.00,2516.19
6.09,1001,1997.94,25.00,2557.39
6.12,1003,1993.32,25.00,2516.62
6.12,1001,1997.89,25.00,2557.39
6.15,1003,1993.31,25.00,2516.99
6.15,1001,1997.84,25.00,2557.39
6.18,1003,1993.30,25.00,2517.38
6.18,1001,1997.80,25.00,2557.39
6.20,1003,1993.29,25.00,2517.75
6.20,1001,1997.75,25.00,2557.39
6.23,1003,1993.28,25.00,2518.11
6.23,1001,1997.71,25.00,2557.39
6.26,1003,1993.26,25.00,2518.51
6.26,1001,1997.66,25.00,2557.39
6.28,1003,1993.25,25.00,2518.87
6.28,1001,1997.61,25.00,2557.39
6.31,1003,1993.24,25.00,2519.24
6.31,1001,1997.57,25.00,2557.39
6.34,1003,1993.22,25.00,2519.62
6.34,1001,1997.52,25.00,2557.39
6.36,1003,1993.21,25.00,2519.97
6.36,1001,1997.47,25.00,2557.39
6.39,1003,1993.20,25.00,2520.34
6.39,1001,1997.43,25.00,2557.39
6.41,1003,1993.19,25.00,2520.69
6.41,1001,1997.39,25.00,2557.39
6.45,1003,1993.17,25.00,2521.13
6.45,1001,1997.33,25.00,2557.39
6.47,1003,1993.16,25.00,2521.50
6.47,1001,1997.29,25.00,2557.39
6.50,1003,1993.15,25.00,2521.87
6.50,1001,1997.24,25.00,2557.39
6.52,1003,1993.14,25.00,2522.23
6.52,1001,1997.20,25.00,2557.39
6.55,1003,1993.13,25.00,2522.60
6.55,1001,1997.15,25.00,2557.39
6.58,1003,1993.11,25.00,2522.97
6.58,1001,1997.10,25.00,2557.39
6.60,1003,1993.10,25.00,2523.33
6.60,1001,1997.06,25.00,2557.39
6.63,1003,1993.09,25.00,2523.69
6.63,1001,1997.01,25.00,2557.39
6.66,1003,1993.08,25.00,2524.11
6.66,1001,1996.96,25.00,2557.39
6.69,1003,1993.06,25.00,2524.50
6.69,1001,1996.91,25.00,2557.39
6.72,1003,1993.05,25.00,2524.87
6.72,1001,1996.87,25.00,2557.39
6.74,1003,1993.04,25.00,2525.23
6.74,1001,1996.82,25.00,2557.39
6.77,1003,1993.03,25.00,2525.57
6.77,1001,1996.78,25.00,2557.39
6.79,1003,1993.01,25.00,2525.96
6.79,1001,1996.73,25.00,2557.39
6.82,1003,1993.00,25.00,2526.39
6.82,1001,1996.68,25.00,2557.39
6.85,1003,1992.99,25.00,2526.77
6.85,1001,1996.63,25.00,2557.39
6.88,1003,1992.97,25.00,2527.14
6.88,1001,1996.59,25.00,2557.39
6.91,1003,1992.96,25.00,2527.52
6.91,1001,1996.54,25.00,2557.39
6.93,1003,1992.95,25.00,2527.88
6.93,1001,1996.49,25.00,2557.39
6.96,1003,1992.94,25.00,2528.25
6.96,1001,1996.45,25.00,2557.38
6.99,1003,1992.92,25.00,2528.65
6.99,1001,1996.40,25.00,2557.38
7.02,1003,1992.91,25.00,2529.07
7.02,1001,1996.35,25.00,2557.38
7.04,1003,1992.90,25.00,2529.44
7.04,1001,1996.30,25.00,2557.38
7.07,1003,1992.89,25.00,2529.83
7.07,1001,1996.25,25.00,2557.38
7.11,1003,1992.87,25.00,2530.30
7.11,1001,1996.19,25.00,2557.38
7.14,1003,1992.86,25.00,2530.73
7.14,1001,1996.14,25.00,2557.38
7.16,1003,1992.84,25.00,2531.10
7.16,1001,1996.09,25.00,2557.38
7.19,1003,1992.83,25.00,2531.47
7.19,1001,1996.05,25.00,2557.38
7.22,1003,1992.82,25.00,2531.82
7.22,1001,1996.00,25.00,2557.38
7.24,1003,1992.81,25.00,2532.20
7.24,1001,1995.96,25.00,2557.38
7.27,1003,1992.79,25.00,2532.58
7.27,1001,1995.91,25.00,2557.38
7.30,1003,1992.78,25.00,2532.94
7.30,1001,1995.87,25.00,2557.38
7.32,1003,1992.77,25.00,2533.30
7.32,1001,1995.82,25.00,2557.38
7.35,1003,1992.76,25.00,2533.66
7.35,1001,1995.78,25.00,2557.38
7.38,1003,1992.75,25.00,2534.04
7.38,1001,1995.73,25.00,2557.38
7.40,1003,1992.73,25.00,2534.42
7.40,1001,1995.68,25.00,2557.38
7.43,1003,1992.72,25.00,2534.79
7.43,1001,1995.64,25.00,2557.38
7.46,1003,1992.71,25.00,2535.16
7.46,1001,1995.59,25.00,2557.38
7.48,1003,1992.70,25.00,2535.53
7.48,1001,1995.55,25.00,2557.38
7.51,1003,1992.68,25.00,2535.89
7.51,1001,1995.50,25.00,2557.38
7.54,1003,1992.67,25.00,2536.27
7.54,1001,1995.45,25.00,2557.38
7.56,1003,1992.66,25.00,2536.65
7.56,1001,1995.41,25.00,2557.38
7.59,1003,1992.65,25.01,2537.01
7.59,1001,1995.36,25.00,2557.38
7.62,1003,1992.64,25.01,2537.38
7.62,1001,1995.32,25.00,2557.38
7.64,1003,1992.62,25.01,2537.73
7.64,1001,1995.27,25.00,2557.38
7.67,1003,1992.61,25.01,2538.11
7.67,1001,1995.22,25.00,2557.38
7.70,1003,1992.60,25.01,2538.50
7.70,1001,1995.18,25.00,2557.38
7.72,1003,1992.58,25.01,2538.89
7.72,1001,1995.13,25.00,2557.38
7.75,1003,1992.57,25.01,2539.26
7.75,1001,1995.08,25.00,2557.38
7.78,1003,1992.56,25.01,2539.64
7.78,1001,1995.04,25.00,2557.38
7.81,1003,1992.55,25.01,2540.01
7.81,1001,1994.99,25.00,2557.38
7.83,1003,1992.54,25.01,2540.39
7.83,1001,1994.94,25.00,2557.38
7.86,1003,1992.52,25.01,2540.76
7.86,1001,1994.90,25.00,2557.38
7.89,1003,1992.51,25.01,2541.13
7.89,1001,1994.85,25.00,2557.38
7.91,1003,1992.50,25.01,2541.50
7.91,1001,1994.80,25.00,2557.38
7.94,1003,1992.48,25.01,2541.89
7.94,1001,1994.76,25.00,2557.38
7.98,1003,1992.47,25.01,2542.40
7.98,1001,1994.69,25.00,2557.38
8.01,1003,1992.45,25.01,2542.82
8.01,1001,1994.64,25.00,2557.38
8.04,1003,1992.44,25.01,2543.30
8.04,1001,1994.58,25.00,2557.38
8.07,1003,1992.42,25.01,2543.73
8.07,1001,1994.53,25.00,2557.38
8.10,1003,1992.41,25.01,2544.14
8.10,1001,1994.48,25.00,2557.38
8.13,1003,1992.40,25.01,2544.52
8.13,1001,1994.43,25.00,2557.38
8.16,1003,1992.39,25.01,2544.89
8.16,1001,1994.38,25.00,2557.38
8.19,1003,1992.37,25.01,2545.28
8.19,1001,1994.34,25.00,2557.38
8.21,1003,1992.36,25.01,2545.67
8.21,1001,1994.29,25.00,2557.38
8.24,1003,1992.35,25.01,2546.09
8.24,1001,1994.23,25.00,2557.38
8.27,1003,1992.33,25.01,2546.48
8.27,1001,1994.19,25.00,2557.38
8.30,1003,1992.32,25.01,2546.87
8.30,1001,1994.14,25.00,2557.38
8.33,1003,1992.31,25.01,2547.25
8.33,1001,1994.09,25.00,2557.38
8.36,1003,1992.29,25.01,2547.65
8.36,1001,1994.04,25.00,2557.38
8.38,1003,1992.28,25.01,2548.02
8.38,1001,1993.99,25.00,2557.38
8.41,1003,1992.27,25.01,2548.41
8.41,1001,1993.95,25.00,2557.38
8.44,1003,1992.25,25.02,2548.82
8.44,1001,1993.90,25.00,2557.38
8.47,1003,1992.24,25.02,2549.22
8.47,1001,1993.85,25.00,2557.38
8.50,1003,1992.23,25.02,2549.63
8.50,1001,1993.80,25.00,2557.38
8.53,1003,1992.21,25.02,2550.01
8.53,1001,1993.75,25.00,2557.38
8.56,1003,1992.20,25.02,2550.42
8.56,1001,1993.70,25.00,2557.38
8.58,1003,1992.19,25.02,2550.81
8.58,1001,1993.65,25.00,2557.38
8.61,1003,1992.18,25.02,2551.20
8.61,1001,1993.60,25.00,2557.38
8.64,1003,1992.16,25.02,2551.61
8.64,1001,1993.55,25.00,2557.38
8.67,1003,1992.15,25.02,2552.01
8.67,1001,1993.50,25.00,2557.38
8.70,1003,1992.14,25.02,2552.41
8.70,1001,1993.45,25.00,2557.38
8.73,1003,1992.12,25.02,2552.82
8.73,1001,1993.40,25.00,2557.38
8.76,1003,1992.11,25.02,2553.22
8.76,1001,1993.35,25.00,2557.38
8.79,1003,1992.09,25.02,2553.62
8.79,1001,1993.30,25.00,2557.38
8.81,1003,1992.08,25.02,2553.99
8.81,1001,1993.25,25.00,2557.38
8.84,1003,1992.07,25.02,2554.40
8.84,1001,1993.20,25.00,2557.38
8.87,1003,1992.06,25.02,2554.79
8.87,1001,1993.16,25.00,2557.38
8.90,1003,1992.04,25.02,2555.17
8.90,1001,1993.11,25.00,2557.38
8.93,1003,1992.03,25.02,2555.56
8.93,1001,1993.06,25.00,2557.38
8.96,1003,1992.02,25.02,2555.98
8.96,1001,1993.01,25.00,2557.38
8.99,1003,1992.00,25.02,2556.40
8.99,1001,1992.96,25.00,2557.38
9.02,1003,1991.99,25.02,2556.82
9.02,1001,1992.90,25.00,2557.38
9.04,1003,1991.98,25.02,2557.20
9.04,1001,1992.86,25.00,2557.38
9.07,1003,1991.96,25.02,2557.59
9.07,1001,1992.81,25.00,2557.38
9.10,1003,1991.95,25.02,2558.00
9.10,1001,1992.76,25.00,2557.38
9.13,1003,1991.94,25.02,2558.39
9.13,1001,1992.71,25.00,2557.38
9.16,1003,1991.92,25.02,2558.76
9.16,1001,1992.66,25.00,2557.38
9.18,1003,1991.91,25.02,2559.11
9.18,1001,1992.62,25.00,2557.37
9.21,1003,1991.90,25.02,2559.52
9.21,1001,1992.57,25.00,2557.37
9.24,1003,1991.89,25.02,2559.91
9.24,1001,1992.52,25.00,2557.37
9.27,1003,1991.87,25.03,2560.28
9.27,1001,1992.47,25.00,2557.37
